File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
ODV_SSLTC_1_1800_3600.f32,CESM,0.461,52.416,0.18,134.474,0.266,90.858,0.906,26.65,0.293,82.666,1.199,20.15
FSNS_1_1800_3600.f32,CESM,0.465,51.932,0.189,127.542,0.27,89.452,0.924,26.12,0.277,87.1,1.202,20.092
FSNSC_1_1800_3600.f32,CESM,0.462,52.23,0.189,128.028,0.271,89.11,0.922,26.186,0.267,90.4,1.189,20.304
PSL_1_1800_3600.f32,CESM,0.486,49.796,0.192,125.936,0.274,88.042,0.952,25.388,0.085,285.536,1.037,23.314
ICEFRAC_1_1800_3600.f32,CESM,0.448,53.86,0.183,132.006,0.269,89.742,0.9,26.82,0.319,75.648,1.219,19.796
FLUT_1_1800_3600.f32,CESM,0.459,52.58,0.187,128.872,0.269,89.592,0.916,26.358,0.16,150.818,1.076,22.432
ODV_dust1_1_1800_3600.f32,CESM,0.464,52.178,0.18,133.816,0.265,91.058,0.909,26.564,0.289,83.454,1.199,20.15
PHIS_1_1800_3600.f32,CESM,0.466,51.85,0.185,130.51,0.27,89.346,0.921,26.218,0.244,99.044,1.165,20.73
TAUX_1_1800_3600.f32,CESM,0.454,53.122,0.186,129.568,0.27,89.364,0.911,26.502,0.321,75.212,1.232,19.59
PCONVB_1_1800_3600.f32,CESM,0.464,52.002,0.189,127.994,0.272,88.78,0.925,26.102,0.179,135.18,1.104,21.878
FREQZM_1_1800_3600.f32,CESM,0.47,51.39,0.185,130.194,0.273,88.496,0.928,26.012,0.277,87.148,1.205,20.028
TGCLDIWP_1_1800_3600.f32,CESM,0.481,50.31,0.185,130.808,0.272,88.716,0.938,25.754,0.242,99.644,1.18,20.462
SHFLX_1_1800_3600.f32,CESM,0.452,53.41,0.184,130.876,0.268,89.948,0.905,26.678,0.315,76.554,1.22,19.782
FSNTOA_1_1800_3600.f32,CESM,0.458,52.726,0.186,130.062,0.27,89.27,0.914,26.412,0.258,93.518,1.172,20.596
ODV_bcar2_1_1800_3600.f32,CESM,0.453,53.284,0.179,134.788,0.264,91.446,0.896,26.934,0.288,83.932,1.184,20.39
ODV_ocar2_1_1800_3600.f32,CESM,0.452,53.458,0.179,135.074,0.264,91.434,0.894,26.994,0.286,84.494,1.18,20.458
TREFMXAV_1_1800_3600.f32,CESM,0.478,50.472,0.188,128.524,0.271,89.022,0.937,25.75,0.129,187.644,1.066,22.642
FSDSC_1_1800_3600.f32,CESM,0.472,51.104,0.187,128.944,0.267,90.4,0.927,26.048,0.159,151.914,1.086,22.238
TREFMNAV_1_1800_3600.f32,CESM,0.475,50.788,0.188,128.136,0.272,88.91,0.935,25.81,0.155,155.524,1.09,22.136
SNOWHLND_1_1800_3600.f32,CESM,0.475,51.084,0.181,133.27,0.271,89.126,0.927,26.074,0.321,75.262,1.248,19.362
LHFLX_1_1800_3600.f32,CESM,0.45,53.688,0.182,132.926,0.269,89.754,0.9,26.816,0.311,77.64,1.211,19.928
FSDTOA_1_1800_3600.f32,CESM,0.473,50.992,0.188,128.314,0.269,89.802,0.931,25.946,0.053,456.234,0.983,24.548
CLDTOT_1_1800_3600.f32,CESM,0.469,51.506,0.188,128.61,0.271,88.99,0.928,26.02,0.242,99.926,1.169,20.642
OCNFRAC_1_1800_3600.f32,CESM,0.455,53.004,0.186,130.102,0.269,89.698,0.911,26.512,0.316,76.386,1.227,19.684
FSNTOAC_1_1800_3600.f32,CESM,0.468,51.618,0.189,127.45,0.27,89.506,0.927,26.044,0.247,97.54,1.175,20.556
PRECSL_1_1800_3600.f32,CESM,0.447,53.976,0.185,130.4,0.27,89.376,0.903,26.75,0.261,92.638,1.163,20.754
TS_1_1800_3600.f32,CESM,0.463,52.18,0.187,129.27,0.268,90.004,0.918,26.306,0.205,117.642,1.123,21.496
PCONVT_1_1800_3600.f32,CESM,0.454,53.148,0.19,127.396,0.268,89.912,0.912,26.458,0.183,131.948,1.095,22.04
TGCLDLWP_1_1800_3600.f32,CESM,0.451,53.596,0.186,129.63,0.27,89.536,0.906,26.634,0.291,83.072,1.197,20.166
PRECC_1_1800_3600.f32,CESM,0.447,53.974,0.181,133.592,0.271,88.984,0.899,26.844,0.243,99.192,1.143,21.126
PRECL_1_1800_3600.f32,CESM,0.455,53.098,0.187,128.93,0.271,89.034,0.913,26.438,0.253,95.488,1.166,20.7
ODV_ocar1_1_1800_3600.f32,CESM,0.449,53.784,0.18,133.804,0.265,91.116,0.894,26.996,0.288,83.792,1.182,20.414
TAUY_1_1800_3600.f32,CESM,0.446,54.108,0.182,132.47,0.266,90.766,0.894,26.99,0.311,77.624,1.205,20.026
CLDLOW_1_1800_3600.f32,CESM,0.453,53.314,0.185,130.318,0.267,90.456,0.905,26.678,0.297,81.412,1.201,20.094
FSUTOA_1_1800_3600.f32,CESM,0.461,52.376,0.19,127.108,0.273,88.392,0.924,26.126,0.295,81.846,1.219,19.804
FLDSC_1_1800_3600.f32,CESM,0.472,51.184,0.187,129.38,0.269,89.624,0.928,26.022,0.123,196.806,1.05,22.982
SRFRAD_1_1800_3600.f32,CESM,0.478,50.606,0.191,126.74,0.277,87.3,0.946,25.572,0.198,122.594,1.143,21.152
PRECSC_1_1800_3600.f32,CESM,0.457,52.882,0.183,131.742,0.269,89.772,0.909,26.56,0.24,100.474,1.149,21.01
FLNTC_1_1800_3600.f32,CESM,0.482,50.09,0.19,126.758,0.272,88.926,0.944,25.572,0.217,111.144,1.162,20.786
ODV_dust4_1_1800_3600.f32,CESM,0.457,52.786,0.182,132.846,0.264,91.314,0.903,26.72,0.286,84.448,1.189,20.296
TMQ_1_1800_3600.f32,CESM,0.457,52.872,0.186,129.93,0.272,88.91,0.914,26.414,0.231,104.452,1.145,21.082
ODV_dust3_1_1800_3600.f32,CESM,0.462,52.204,0.179,134.698,0.266,90.836,0.907,26.602,0.289,83.528,1.197,20.176
CLDHGH_1_1800_3600.f32,CESM,0.455,53.08,0.187,129.026,0.27,89.596,0.911,26.488,0.255,94.78,1.166,20.704
