File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
PRECSL_1_1800_3600.f32,CESM,0.812,30.426,0.413,68.9,0.841,32.132,2.066,12.574,0.297,81.336,2.363,10.794
TAUX_1_1800_3600.f32,CESM,0.866,30.186,0.367,74.064,0.733,36.138,1.967,13.278,0.36,67.028,2.327,10.992
CLDHGH_1_1800_3600.f32,CESM,1.012,25.204,0.454,57.788,1.936,20.818,3.402,8.714,0.345,73.792,3.747,7.742
ODV_ocar1_1_1800_3600.f32,CESM,0.96,29.784,0.416,73.298,0.916,31.176,2.292,12.478,0.333,72.734,2.625,10.484
TGCLDLWP_1_1800_3600.f32,CESM,0.743,34.378,0.272,90.652,0.619,39.182,1.634,15.064,0.328,73.614,1.962,12.474
TMQ_1_1800_3600.f32,CESM,1.162,28.608,0.326,80.352,0.579,41.982,2.067,13.21,0.254,94.942,2.321,11.474
FREQZM_1_1800_3600.f32,CESM,1.647,28.372,0.553,59.654,1.059,32.472,3.259,11.448,0.379,71.378,3.638,9.714
SNOWHICE_1_1800_3600.f32,CESM,0.687,35.954,0.327,83.68,0.756,37.644,1.77,14.934,0.38,64.168,2.15,11.956
SWCF_1_1800_3600.f32,CESM,0.73,33.45,0.346,77.652,0.832,31.772,1.908,13.242,0.341,70.78,2.249,11.094
FSUTOA_1_1800_3600.f32,CESM,0.814,32.234,0.33,82.174,0.765,35.696,1.91,13.948,0.337,71.748,2.247,11.588
RHREFHT_1_1800_3600.f32,CESM,1.155,26.39,0.729,46.058,0.951,29.31,2.835,10.05,0.244,98.842,3.079,9.008
FSNT_1_1800_3600.f32,CESM,0.87,28.758,0.307,79.3,0.916,34.162,2.092,12.672,0.293,82.412,2.386,10.886
TROP_Z_1_1800_3600.f32,CESM,0.879,32.424,0.355,77.53,0.747,36.948,1.98,13.74,0.128,191.614,2.108,12.776
FLNSC_1_1800_3600.f32,CESM,0.749,34.136,0.389,78.076,0.743,36.396,1.881,14.244,0.343,70.508,2.225,11.766
ODV_dust2_1_1800_3600.f32,CESM,0.769,32.79,0.274,89.916,0.606,40.426,1.648,14.786,0.338,72.638,1.986,12.246
FREQSH_1_1800_3600.f32,CESM,0.733,33.396,0.391,71.418,1.372,26.39,2.497,11.256,0.335,72.162,2.831,9.596
PBLH_1_1800_3600.f32,CESM,0.767,32.986,0.435,68.846,0.857,32.346,2.059,13.068,0.313,77.304,2.372,11.056
FSNTOAC_1_1800_3600.f32,CESM,0.806,30.372,0.418,71.086,0.883,30.932,2.108,12.346,0.304,81.022,2.411,10.652
TREFHT_1_1800_3600.f32,CESM,0.915,27.708,0.441,69.48,0.805,33.17,2.161,11.906,0.169,142.776,2.33,10.956
PHIS_1_1800_3600.f32,CESM,1.012,26.902,0.745,55.0,1.345,20.716,3.102,9.028,0.278,86.932,3.38,8.076
FLDS_1_1800_3600.f32,CESM,0.737,34.04,0.333,81.156,0.718,37.482,1.788,14.546,0.147,165.122,1.934,13.332
ODV_sulf_1_1800_3600.f32,CESM,0.76,33.346,0.254,95.722,0.657,38.472,1.67,14.992,0.316,76.486,1.986,12.48
LWCF_1_1800_3600.f32,CESM,0.739,34.118,0.286,86.078,0.611,40.006,1.637,15.076,0.271,89.152,1.908,12.878
FLDSC_1_1800_3600.f32,CESM,0.775,31.962,0.386,69.686,0.863,32.144,2.024,12.854,0.143,171.034,2.167,11.912
TREFMNAV_1_1800_3600.f32,CESM,0.793,31.148,0.606,68.09,0.901,32.99,2.3,12.498,0.306,111.624,2.606,10.836
PSL_1_1800_3600.f32,CESM,0.62,39.092,0.277,88.652,0.564,42.802,1.461,16.536,0.089,270.31,1.551,15.578
TSMN_1_1800_3600.f32,CESM,1.189,28.37,0.421,69.498,0.802,33.422,2.412,12.356,0.32,75.512,2.732,10.456
TREFMXAV_1_1800_3600.f32,CESM,0.816,30.518,0.523,62.168,0.804,34.464,2.142,12.278,0.155,155.858,2.298,11.316
ODV_dust1_1_1800_3600.f32,CESM,0.756,33.338,0.261,93.102,0.601,40.476,1.617,15.094,0.311,77.62,1.928,12.616
CLDTOT_1_1800_3600.f32,CESM,0.733,33.152,0.292,82.956,0.911,34.834,1.936,13.412,0.277,87.196,2.214,11.54
FLNS_1_1800_3600.f32,CESM,0.724,33.964,0.269,91.092,0.598,40.486,1.591,15.226,0.335,72.028,1.927,12.558
ODV_SSLTA_1_1800_3600.f32,CESM,0.673,35.982,0.267,91.27,0.573,42.286,1.513,16.004,0.324,74.484,1.838,13.168
TROP_T_1_1800_3600.f32,CESM,0.8,30.576,0.424,64.882,0.982,29.59,2.206,11.956,0.102,262.284,2.308,11.43
FSNTC_1_1800_3600.f32,CESM,0.754,32.926,0.338,80.508,0.723,37.576,1.815,14.206,0.293,83.564,2.108,12.118
TS_1_1800_3600.f32,CESM,0.662,36.588,0.259,95.174,0.579,41.848,1.5,16.172,0.223,108.298,1.723,14.062
PS_1_1800_3600.f32,CESM,0.792,32.742,0.336,82.796,0.788,36.914,1.916,14.252,0.203,119.238,2.118,12.632
QREFHT_1_1800_3600.f32,CESM,0.758,32.466,0.343,78.102,0.812,33.89,1.912,13.478,0.272,88.822,2.185,11.608
ODV_SSLTC_1_1800_3600.f32,CESM,0.688,36.296,0.338,81.376,0.728,36.49,1.754,14.73,0.32,75.422,2.074,12.226
FSDS_1_1800_3600.f32,CESM,0.74,33.142,0.326,77.63,0.622,38.926,1.688,14.44,0.308,78.682,1.995,12.18
FLNTC_1_1800_3600.f32,CESM,0.754,32.474,0.305,80.76,0.646,37.638,1.704,14.212,0.25,97.196,1.954,12.384
